Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1630624455.8279183,0,0,0.0,35.2
1630624462.9112787,0,0,0.0,36.6
1630624469.855778,37.875805,-122.259053333,0.0,38.2
1630624477.0199542,37.87575,-122.259058333,0.0,34.8
1630624483.6816123,37.875753333,-122.259063333,0.0,30.6
1630624490.694168,37.87575,-122.259068333,0.0,31.4
1630624497.5489275,37.875758333,-122.259068333,0.0,35.4
1630624504.1517882,37.875788333,-122.259063333,0.0,40.6
1630624510.658815,37.875813333,-122.259068333,0.0,38.0
1630624517.479531,37.875813333,-122.259075,0.0,38.4
1630624523.9675372,37.87581,-122.259083333,0.0,34.0
1630624531.183005,37.875736667,-122.25905,0.0,34.0
1630624538.4488902,37.875741667,-122.259016667,0.0,37.4
1630624545.3233283,37.875735,-122.258958333,0.0,35.0
1630624552.4413502,37.875755,-122.258946667,0.0,35.6
1630624559.1580195,37.87576,-122.258943333,0.0,32.4
1630624565.6217396,37.875753333,-122.25892,0.0,36.4
1630624572.913762,37.875751667,-122.258913333,0.0,35.4
1630624579.4543526,37.87575,-122.258913333,0.0,37.4
1630624587.0903895,37.875736667,-122.258926667,0.0,38.6
1630624594.6041117,37.875735,-122.258931667,0.0,34.8
1630624602.4992108,37.875733333,-122.25892,0.0,35.6
1630624609.7338934,37.875726667,-122.258911667,0.0,33.8
1630624617.6542923,37.875723333,-122.258913333,0.0,40.8
1630624624.8235495,37.875723333,-122.258915,0.0,36.6
1630624632.3256817,37.8757,-122.258938333,0.0,32.4
1630624640.2583537,37.875703333,-122.258928333,0.0,27.8
1630624647.4998991,37.875681667,-122.258881667,0.0,33.0
1630624655.0868795,37.875668333,-122.258905,0.0,34.4
1630624662.794155,37.875661667,-122.25889,0.0,33.0
1630624670.4170089,37.875661667,-122.258888333,0.0,30.4
1630624678.297175,37.875663333,-122.258888333,0.0,30.0
1630624685.1675553,37.875658333,-122.258883333,0.0,31.8
1630624692.7587273,37.875665,-122.258915,0.0,33.6
1630624701.059433,37.875645,-122.258936667,0.0,36.2
1630624709.1109755,37.875635,-122.258933333,0.0,32.8
1630624716.5775208,37.875581667,-122.258923333,0.0,36.4
1630624724.589415,37.875543333,-122.25892,0.0,36.6
1630624731.8527167,37.875445,-122.258863333,0.0,36.8
1630624738.6739035,37.875411667,-122.258856667,0.0,33.0
1630624745.591362,37.875335,-122.258973333,0.0,31.6
1630624752.6931083,37.875306667,-122.258996667,0.0,32.8
1630624760.0287685,37.875273333,-122.259005,0.0,31.6
1630624768.5797992,37.875216667,-122.258978333,0.0,28.4
1630624775.3410242,37.875201667,-122.258956667,0.0,30.4
1630624783.839614,37.875183333,-122.258955,0.0,29.6
1630624791.684124,37.875128333,-122.25894,0.0,29.2
1630624799.1353958,37.87518,-122.259093333,1.0,31.8
1630624807.3388724,37.875183333,-122.259301667,1.0,31.0
1630624816.0210958,37.875156667,-122.259308333,1.0,30.0
1630624824.9479513,37.875146667,-122.259285,0.0,34.8
1630624833.4567099,37.875135,-122.259256667,1.0,35.8
1630624841.188282,37.875133333,-122.259246667,1.0,26.2
1630624849.7355652,37.875118333,-122.259206667,1.0,34.0
1630624858.9131632,37.875123333,-122.259156667,1.0,24.2
1630624867.6817284,37.875143333,-122.259586667,1.0,27.2
1630624876.2623732,37.875165,-122.259783333,1.0,24.8
1637188251.5478113,37.875153333,-122.259883333,1.0,25.8
1637188261.5869007,37.875148333,-122.260008333,1.0,28.0
1637188271.625732,37.875056667,-122.26016,1.0,29.2
1637188281.7640762,37.875051667,-122.260155,1.0,25.8
1637188290.7232432,37.875125,-122.260125,1.0,25.8
1637188300.2119937,37.875231667,-122.260135,1.0,32.6
1637188309.771632,37.875343333,-122.260146667,3.0,29.6
1637188319.196472,37.875421667,-122.26016,3.0,33.8
1637188329.4057326,37.875591667,-122.260161667,2.0,35.0
1637188339.6273415,37.8757,-122.260163333,1.0,37.8
1637188349.3773673,37.875806667,-122.260163333,0.0,33.4
1637188359.5342667,37.875915,-122.260095,0.0,28.8
1637188368.7708957,37.875965,-122.260035,0.0,34.0
1637188378.5003052,37.876008333,-122.259928333,0.0,28.8
1637188388.1226044,37.876018333,-122.259781667,0.0,27.6
1637188396.8967285,37.876006667,-122.259655,0.0,28.6
1637188405.9549894,37.876018333,-122.259588333,0.0,28.8
1637188416.2092679,37.87601,-122.25954,0.0,30.4
1637188425.3076215,37.87601,-122.259523333,0.0,30.8
1637188434.7594378,37.87601,-122.25951,0.0,31.2
1637188445.4845324,37.876015,-122.259513333,0.0,26.8
1637188455.7700124,37.876011667,-122.25953,0.0,26.2
1637188465.1941926,37.876,-122.25954,0.0,30.0
1637188474.4420054,37.875995,-122.259548333,0.0,27.0
1637188484.7749665,37.876041667,-122.259486667,0.0,26.8
1637188495.5231164,37.876035,-122.259378333,0.0,35.2
1637188504.603129,37.876028333,-122.25923,0.0,30.0
1637188514.191256,37.876018333,-122.25915,0.0,30.4
1637188524.2785895,37.876051667,-122.259063333,0.0,31.8
1637188534.3142421,37.876025,-122.259018333,0.0,29.0
1637188543.6201649,37.875943333,-122.259008333,0.0,28.8
1637188554.353869,37.875903333,-122.258975,0.0,35.4
1637188562.5867696,37.875865,-122.259003333,0.0,24.6
1637188570.3276649,37.875841667,-122.259015,0.0,31.8
1637188579.5865119,37.87584,-122.259033333,0.0,25.0
1637188588.7814386,37.875895,-122.259161667,0.0,34.0
1637188597.3802006,37.875933333,-122.259226667,0.0,29.2
1637188607.644214,37.875925,-122.259191667,0.0,31.4
1637188616.5048249,37.875895,-122.259125,0.0,32.4
1637188625.4909058,37.875865,-122.259061667,0.0,34.8
1637188634.958776,37.875828333,-122.259068333,0.0,33.8
1637188644.1964173,37.87581,-122.25907,0.0,34.8
1637188654.6222184,37.875803333,-122.259061667,0.0,37.0
1637188662.5759904,37.875826667,-122.259043333,0.0,37.6
1637188670.738481,37.875848333,-122.259015,0.0,36.2
1637188679.6916423,37.875883333,-122.259011667,0.0,35.6
1637188688.122726,37.875901667,-122.259005,0.0,34.4
1637188697.0237267,37.875906667,-122.258995,0.0,29.2
1637188707.8492992,37.875906667,-122.258981667,0.0,32.0
1637188717.0889614,37.875895,-122.258963333,0.0,33.0
1637188725.5264382,37.875875,-122.258948333,0.0,38.4
1637188735.055827,37.875856667,-122.258953333,0.0,31.0
1637188745.862315,37.87583,-122.259001667,0.0,32.8
1637188754.2450607,37.875833333,-122.259005,0.0,36.0
1637188762.4200094,37.875833333,-122.259005,0.0,31.6
1637188770.658339,37.875843333,-122.259016667,0.0,39.2
1637188779.349588,37.875853333,-122.259036667,0.0,36.6
1637188790.6441815,37.875866667,-122.259055,0.0,38.2
1637188803.890516,37.875878333,-122.259068333,0.0,33.2
1637188815.209824,37.875808333,-122.259065,0.0,35.0
1637188826.560352,37.87569,-122.2591,0.0,33.8
1637188837.0049667,37.875538333,-122.258941667,0.0,26.2
1637188847.303893,37.875363333,-122.258958333,0.0,27.0
1637188856.4781847,37.875311667,-122.259038333,0.0,30.4
1637188866.0680096,37.8753,-122.25915,0.0,29.8
1637188877.2551386,37.875261667,-122.25934,0.0,31.8
1637188885.5834773,37.87525,-122.259495,0.0,31.0
1637188895.9660807,37.875235,-122.259665,0.0,28.0
1637188907.0774043,37.875216667,-122.25985,0.0,27.6
1637188917.794752,37.875173333,-122.259991667,0.0,28.4
1637188926.6785414,37.87516,-122.260075,0.0,27.0
1637188936.0616908,37.875141667,-122.260068333,0.0,28.4
1637188947.493015,37.875055,-122.260115,0.0,38.2
1637188956.7593029,37.874938333,-122.260095,0.0,27.8
1637188966.354382,37.874806667,-122.260131667,0.0,28.8
1637188975.7628875,37.874708333,-122.260118333,0.0,29.2
1637188984.4067986,37.874591667,-122.260088333,0.0,31.2
1637188993.0590417,37.874496667,-122.260108333,0.0,30.6
1637189002.6103144,37.874378333,-122.260085,0.0,30.6
1637189012.884917,37.874248333,-122.260073333,0.0,32.2
1637189024.9040794,37.874121667,-122.260011667,0.0,35.0
1637189035.2191875,37.874053333,-122.259911667,0.0,32.0
1637189045.1986725,37.87402,-122.259808333,0.0,35.0
1637189056.5665402,37.873985,-122.259768333,0.0,30.6
1637189065.3363228,37.873838333,-122.259866667,0.0,35.0
1637189074.2018046,37.873705,-122.259925,0.0,32.8
1637189083.011462,37.873588333,-122.259843333,0.0,35.2
1637189094.5980623,37.87349,-122.259836667,1.5,27.8
1637189105.40463,37.873386667,-122.259893333,7.0,32.0
1637189114.3587544,37.873365,-122.259835,6.0,33.6
1637189125.2251513,37.87337,-122.259836667,1.5,34.4
1637189134.4725919,37.873371667,-122.259821667,0.0,33.8
1637189143.4516163,37.873378333,-122.259851667,0.0,30.4
1637189153.3308644,37.873285,-122.259961667,0.0,27.8
1637189162.6042578,37.873186667,-122.260013333,0.0,35.6
1637189172.1345482,37.87311,-122.260041667,0.0,31.0
1637189182.4552195,37.873005,-122.260046667,0.0,28.8
1637189191.5920055,37.872863333,-122.260115,0.0,31.4
1637189200.500443,37.872743333,-122.26012,0.0,34.8
1637189209.5024416,37.872663333,-122.260166667,0.0,31.0
1637189220.0111291,37.872563333,-122.26023,0.0,25.6
1637189230.8589754,37.872483333,-122.260293333,0.0,32.4
1637189240.2137115,37.872443333,-122.260303333,0.0,24.6
1637189249.496486,37.872441667,-122.260356667,0.0,26.4
1637189258.6677806,37.87227,-122.260456667,0.0,24.6
1637189269.9013896,37.872155,-122.260488333,0.0,26.8
1637189279.0780847,37.872006667,-122.260185,0.0,30.0
1637189288.302678,37.871903333,-122.259985,0.0,31.0
1637189300.297413,37.87182,-122.259845,0.0,24.8
1637189309.4741654,37.871781667,-122.259903333,0.0,29.0
1637189318.855567,37.871763333,-122.259981667,0.0,27.2
1637189329.2537217,37.871763333,-122.259978333,0.0,28.4
1637189338.5999095,37.871763333,-122.259996667,0.0,29.4
1637189349.8094254,37.871733333,-122.260041667,0.0,33.6
1637189359.2137036,37.871731667,-122.260088333,0.0,29.2
1637189368.4241858,37.871718333,-122.260085,0.0,34.8
1637189378.2750015,37.8717,-122.260043333,0.0,30.6
1637189387.9959002,37.871665,-122.260128333,0.0,29.6
1637189397.4372404,37.871625,-122.260198333,0.0,36.2
1637189406.9085252,37.871616667,-122.260126667,0.0,36.4
1637189417.208335,37.871578333,-122.260073333,0.0,23.6
1637189428.1321518,37.871518333,-122.260031667,0.0,32.2
1637189438.4181256,37.871511667,-122.259901667,0.0,34.8
1637189447.9755392,37.871428333,-122.259835,0.0,29.4
1637189458.748491,37.871336667,-122.259805,0.5,30.0
1637189468.4350412,37.871226667,-122.259805,2.0,35.0
1637189478.2379353,37.87108,-122.259798333,2.0,28.4
1637189487.7796092,37.870983333,-122.259685,2.0,31.6
1637189497.3304012,37.870886667,-122.259643333,2.0,33.2
1637189506.9964774,37.870755,-122.259613333,1.5,29.0
1637189516.6184325,37.87065,-122.259625,1.0,33.0
1637189526.5923615,37.87057,-122.259613333,1.0,27.4
1637189538.4551823,37.870483333,-122.259491667,1.0,36.2
1637189548.256676,37.870348333,-122.259403333,1.0,36.2
1637189558.0153127,37.870151667,-122.259276667,0.0,41.0
1637189568.089095,37.87,-122.259185,0.5,29.4
1637189577.9053771,37.869901667,-122.259246667,1.0,34.2
1637189587.6103144,37.86983,-122.259271667,1.0,36.8
1637189597.6244307,37.869738333,-122.25931,1.0,36.8
1637189607.8208508,37.869628333,-122.259238333,1.0,38.0
1637189617.5581532,37.869595,-122.259193333,1.0,33.8
1637189627.3917136,37.869588333,-122.259165,1.0,40.6
1637189639.2829823,37.869438333,-122.259226667,1.0,38.2
1637189649.401162,37.869298333,-122.259268333,1.0,35.6
1637189659.277792,37.869163333,-122.259305,1.0,33.2
1637189669.3138635,37.869053333,-122.259315,1.0,36.0
1637189679.6112955,37.868915,-122.259285,0.0,41.2
1637189689.7189841,37.868755,-122.25914,0.0,32.6
1637189699.8597052,37.868728333,-122.259093333,0.0,31.2
1637189709.9123476,37.868641667,-122.259078333,0.0,31.2
1637189719.9608505,37.868511667,-122.259096667,0.0,26.4
1637189730.07649,37.868366667,-122.25907,0.0,24.4
1637189740.4766958,37.868246667,-122.259005,0.0,28.8
1637189750.5775206,37.868131667,-122.258931667,0.0,35.4
1637189760.555832,37.868073333,-122.258903333,0.0,32.4
1637189770.751477,37.868,-122.258833333,0.0,36.6
1637189780.9771523,37.86792,-122.258683333,0.0,43.0
1637189791.31455,37.867818333,-122.258596667,0.0,32.8
1637189801.5292432,37.867858333,-122.25853,0.0,36.8
1637189812.1160967,37.867876667,-122.258491667,0.0,36.4
1637189822.5517766,37.867903333,-122.258338333,0.0,35.4
1637189832.9046211,37.867983333,-122.258231667,0.0,30.2
1637189843.1584556,37.868078333,-122.258098333,0.0,30.4
1637189853.2621129,37.868153333,-122.257973333,0.0,26.4
1637189863.5237634,37.868085,-122.257763333,0.0,31.6
1637189874.3897502,37.867885,-122.257865,0.0,27.4
1637189885.303887,37.867888333,-122.257861667,0.0,27.2
1637189896.3346891,37.867905,-122.257806667,0.0,24.0
1637189907.1629858,37.867853333,-122.257708333,0.0,27.2
1637189917.9953597,37.868058333,-122.257541667,0.0,32.2
1637189929.449383,37.868078333,-122.257346667,0.0,25.8
1637189941.5261455,37.868086667,-122.257121667,0.0,28.8
1637189952.7139714,37.868083333,-122.256905,0.0,25.4
1637189963.8317974,37.8681,-122.256696667,0.0,25.4
1637189974.979126,37.868123333,-122.256625,1.0,30.0
1637189986.1904788,37.868098333,-122.25672,0.0,26.0
1637189997.418597,37.868071667,-122.25671,0.0,25.6
1637190008.8991256,37.86801,-122.256705,0.0,25.2
1637190020.2098856,37.867943333,-122.25648,0.0,24.6
1637190031.333139,0,0,0.0,23.0
1637190041.7871208,37.867851667,-122.25643,0.0,21.8
1637190052.261763,0,0,0.0,27.4
1637190062.3852718,0,0,0.0,22.2
1637190072.9564216,0,0,0.0,23.6
1637190083.1961331,0,0,0.0,22.6
1637190093.3750505,0,0,0.0,26.2
1637190103.625264,0,0,0.0,24.6
1637190113.9246285,0,0,0.0,21.2
1637190124.404419,0,0,0.0,22.6
1637190135.1508954,0,0,0.0,26.6
1637190145.6035774,0,0,0.0,26.4
1637190155.9128559,0,0,0.0,23.6
1637190166.2149677,0,0,0.0,24.8
1637190176.7345872,37.86794,-122.256595,0.0,26.0
1637190188.120807,37.867925,-122.25669,0.0,25.2
1637190200.1179214,37.867893333,-122.25679,0.0,24.4
1637190212.1310015,37.867981667,-122.256765,0.0,30.0
1637190223.9912226,37.868043333,-122.256791667,0.0,30.0
1637190235.9624465,37.868045,-122.25699,0.0,26.8
1637190251.5899024,37.868021667,-122.257221667,0.0,29.6
1637190263.450375,37.868238333,-122.25733,0.0,28.8
1637190275.1846383,37.868348333,-122.257498333,0.0,26.8
1637190286.9422486,37.868431667,-122.25768,0.0,35.8
1637190298.7726078,37.868266667,-122.257911667,0.0,27.4
1637190310.7745805,37.868065,-122.258115,0.0,28.4
1637190322.3703961,37.867931667,-122.258285,0.0,31.4
1637190334.7633393,37.867931667,-122.258306667,0.0,30.4
1637190346.7087705,37.867923333,-122.25832,0.0,32.8
1637190358.1638613,37.867866667,-122.258316667,0.0,31.2
1637190369.5797808,37.867793333,-122.258411667,0.0,39.2
1637190380.3652742,0,0,0.0,33.6
1637190391.4530544,0,0,0.0,37.6
1637190402.1476288,0,0,0.0,34.2
1637190412.9541986,0,0,0.0,34.4
1637190423.8090591,0,0,0.0,39.0
1637190434.560388,0,0,0.0,39.2
1637190445.6572337,0,0,0.0,36.0
1637190457.4207046,37.86795,-122.258465,0.0,33.4
1637190470.206232,37.868003333,-122.25848,0.0,33.0
1637190483.485325,37.867976667,-122.258695,0.0,34.4
1637190495.6177645,37.867873333,-122.259045,4.0,36.2
1637190508.1582768,37.867948333,-122.259103333,6.0,31.8
1637190520.3671925,37.867985,-122.259046667,3.0,33.2
1637190532.6078043,37.868215,-122.259033333,1.0,26.0
1637190544.5554142,37.86837,-122.259038333,0.0,30.2
1637190556.202435,37.868556667,-122.259046667,0.0,29.6
1637190568.8970244,37.868725,-122.259158333,0.0,41.4
1637190581.3986363,37.868886667,-122.25921,0.0,36.8
1637190593.6783175,37.869108333,-122.259273333,0.0,37.8
1637190606.1121397,37.869255,-122.259266667,0.0,34.0
1637190618.2598364,37.869366667,-122.259331667,1.0,39.8
1637190631.0222008,37.86951,-122.259306667,1.0,37.8
1637190643.2478404,37.869618333,-122.259425,1.0,34.0
1637190655.754476,37.869685,-122.25962,1.0,23.8
1637190668.1447914,37.86964,-122.259955,1.0,20.4
1637190680.3224478,37.869388333,-122.260071667,1.0,26.0
1637190693.201091,37.86935,-122.260181667,0.0,19.6
1637190706.0364137,37.869336667,-122.260225,0.0,25.4
1637190719.1827362,37.869425,-122.260231667,0.0,22.8
1637190734.0102947,37.869445,-122.260206667,0.0,25.4
1637190747.9206817,37.869423333,-122.26019,0.0,28.4
1637190761.1962798,37.869406667,-122.260193333,0.0,19.8
1637190773.9177172,37.869386667,-122.260166667,0.0,24.2
1637190786.8875935,37.869371667,-122.260165,0.0,22.4
1637190803.6723964,37.869391667,-122.260175,0.0,22.8
1637190817.100341,37.869405,-122.260183333,0.0,24.0
1637190832.034607,37.8694,-122.260186667,0.0,25.0
1637190845.0816262,37.86939,-122.260201667,0.0,24.6
1637190859.792774,37.86938,-122.260206667,0.0,23.4
1637190872.6221733,37.869368333,-122.260201667,0.0,22.2
1637190886.2620683,37.869363333,-122.26019,0.0,23.4
1637190899.693105,37.869373333,-122.260173333,0.0,23.0
1637190912.7879207,37.86934,-122.26011,0.0,22.0
1637190927.9215655,37.86934,-122.26008,2.0,25.4
1637190942.5213404,37.869353333,-122.260063333,2.0,20.8
1637190957.8765497,37.869356667,-122.260071667,2.0,23.6
1637190970.9918346,37.869351667,-122.260095,1.0,25.2
1637190983.928591,37.869328333,-122.260145,1.0,28.8
1637190997.2840173,37.869331667,-122.26018,1.0,28.6
1637191010.750956,37.869325,-122.26016,1.0,23.0
1637191023.9305165,37.869301667,-122.260148333,0.5,21.2
1637191037.2657778,37.869295,-122.260161667,0.0,25.2
1637191052.3258727,37.869311667,-122.260143333,0.0,24.4
1637191066.1726315,37.86935,-122.260151667,0.0,29.0
1637191079.2328615,37.869385,-122.260185,0.0,24.8
1637191092.6597846,37.8694,-122.260206667,0.0,23.4
1637191105.9182365,0,0,0.0,27.4
1637191119.5329063,37.869416667,-122.260208333,1.0,27.0
1637191134.767153,37.869375,-122.260233333,0.0,25.6
1637191148.432018,37.86938,-122.260228333,0.0,22.0
1637191162.0224235,37.869411667,-122.26021,0.0,26.8
1637191175.8718498,0,0,0.0,28.2
1637191189.23587,37.869451667,-122.260205,1.0,26.8
1637191202.9119585,37.869465,-122.2602,1.0,25.2
1637191217.5376897,37.869441667,-122.260173333,0.0,24.6
1637191231.699808,37.869353333,-122.260191667,0.0,27.0
1637191245.3673377,37.86933,-122.260243333,0.0,28.4
1637191259.2290115,37.869315,-122.260251667,0.0,22.4
1637191272.9374785,37.869296667,-122.26025,0.0,27.2
1637191288.4339728,37.869295,-122.26024,0.0,23.0
1637191302.2707577,37.869315,-122.260246667,3.0,22.2
1637191316.1033506,37.86937,-122.260218333,3.0,24.6
1637191329.4550035,37.869395,-122.260201667,4.0,27.2
1637191343.143807,37.869435,-122.260201667,5.0,27.2
1637191357.201226,37.869435,-122.260195,4.0,27.0
1637191371.1902766,37.869433333,-122.260201667,5.0,23.0
1637191385.9652636,37.869408333,-122.260203333,5.0,26.0
1637191401.8934102,37.869378333,-122.260198333,5.0,22.4
1637191415.9372478,37.869361667,-122.260196667,5.0,24.4
1637191429.8541327,37.869343333,-122.260211667,5.0,24.4
1637191445.569338,37.869335,-122.260206667,5.0,19.4
1637191461.6173618,37.869365,-122.260188333,5.0,23.0
1637191475.2980015,37.86938,-122.260161667,5.0,25.2
1637191491.4533925,37.869378333,-122.26014,5.0,25.8
1637191507.2216604,37.869411667,-122.260156667,4.0,24.6
1637191521.1717389,37.869431667,-122.260156667,5.0,24.4
1637191535.2657156,37.8695,-122.26015,5.0,23.8
1637191549.3805428,37.869521667,-122.260158333,5.0,23.8
1637191564.215612,37.869605,-122.26004,5.0,24.8
1637191578.5530732,37.869646667,-122.260011667,5.0,20.2
1637191592.8863375,37.869616667,-122.26006,5.0,24.4
1637191607.2711396,37.869573333,-122.260113333,5.0,25.4
1637191623.3572216,37.8695,-122.260193333,4.0,25.0
1637191637.3823166,37.869488333,-122.260171667,6.0,26.0
1637191653.7885442,37.869471667,-122.260158333,6.0,23.6
1637191668.046552,37.869428333,-122.260203333,5.0,21.8
1637191683.9349425,37.8694,-122.260241667,5.0,25.4
1637191698.699329,37.869401667,-122.260236667,5.0,29.0
1637191714.905161,37.869406667,-122.26023,5.0,26.8
1637191729.2786214,37.869401667,-122.260233333,5.0,26.2
1637191746.4073355,37.869425,-122.260196667,5.0,22.8
1637191763.2563555,37.869528333,-122.26012,5.0,26.6
1637191777.3791778,37.869455,-122.260173333,5.0,27.4
1637191793.8360062,37.869375,-122.260261667,4.5,21.6
1637191808.0547342,37.869365,-122.260258333,4.0,23.6
1637191823.2134783,37.869361667,-122.260226667,3.0,23.8
1637191837.8024182,37.869336667,-122.260236667,4.0,25.2
1637191852.5919523,37.86932,-122.260231667,4.0,24.4
1637191866.883304,37.869333333,-122.260241667,5.0,23.2
1637191881.658402,37.869376667,-122.260298333,4.5,22.6
1637191899.8188531,37.869415,-122.26031,4.0,23.6
1637191914.5014293,37.869395,-122.260296667,4.0,20.0
1637191929.253591,37.86929,-122.26019,5.0,22.6
1637191944.0519328,37.869175,-122.260061667,5.0,15.8
1637191958.4076765,37.869243333,-122.260085,5.0,23.4
1637191973.1874642,37.869445,-122.259983333,5.0,23.2
1637191989.9489002,37.86957,-122.259771667,5.0,23.8
1637192004.8873525,37.869643333,-122.259591667,5.0,25.2
1637192019.3953078,37.869746667,-122.259655,5.0,25.6
1637192034.2373304,37.8698,-122.25967,5.0,28.0
1637192049.1084638,37.869816667,-122.259688333,5.0,28.6
